name,url,description,combined_text,text_for_embedding
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,,Core Java (Advanced Level) (New) ,Core Java (Advanced Level) (New) 
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,,Core Java (Entry Level) (New) ,Core Java (Entry Level) (New) 
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,,Count Out The Money ,Count Out The Money 
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,,CSS3 (New) ,CSS3 (New) 
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,,Culinary Skills (New) ,Culinary Skills (New) 
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,,Customer Service Phone Simulation ,Customer Service Phone Simulation 
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,,Customer Service Phone Solution ,Customer Service Phone Solution 
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,,Cyber Risk (New) ,Cyber Risk (New) 
Manager + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-solution-4242/,,Manager + 7.1 (Americas) ,Manager + 7.1 (Americas) 
Manager + 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-%28international%29/,,Manager + 7.1 (International) ,Manager + 7.1 (International) 
Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution/,,Manager 7.0 Solution ,Manager 7.0 Solution 
Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-%28americas%29/,,Manager 7.1 (Americas) ,Manager 7.1 (Americas) 
Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,,Manager 7.1 (International) ,Manager 7.1 (International) 
Manager 8.0 JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/,,Manager 8.0 JFA ,Manager 8.0 JFA 
Manager 8.0+ JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,,Manager 8.0+ JFA ,Manager 8.0+ JFA 
Manufacturing Production Team Member,https://www.shl.com/products/product-catalog/view/manufacturing-production-team-member/,,Manufacturing Production Team Member ,Manufacturing Production Team Member 
Manufacturing Skilled Maintenance Worker,https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,,Manufacturing Skilled Maintenance Worker ,Manufacturing Skilled Maintenance Worker 
Network Engineer/Analyst Solution,https://www.shl.com/products/product-catalog/view/network-engineeranalyst-solution/,,Network Engineer/Analyst Solution ,Network Engineer/Analyst Solution 
Nurse Leader Solution,https://www.shl.com/products/product-catalog/view/nurse-leader-solution/,,Nurse Leader Solution ,Nurse Leader Solution 
Nurse Solution,https://www.shl.com/products/product-catalog/view/nurse-solution/,,Nurse Solution ,Nurse Solution 
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,,Data Entry (New) ,Data Entry (New) 
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,,Data Entry Alphanumeric Split Screen - US ,Data Entry Alphanumeric Split Screen - US 
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,,Data Entry Numeric Split Screen - US ,Data Entry Numeric Split Screen - US 
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,,Data Entry Ten Key Split Screen ,Data Entry Ten Key Split Screen 
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,,Data Science (New) ,Data Science (New) 
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,,Data Warehousing Concepts ,Data Warehousing Concepts 
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,,Dependability and Safety Instrument (DSI) ,Dependability and Safety Instrument (DSI) 
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,,Dermatology (New) ,Dermatology (New) 
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,,Desktop Support (New) ,Desktop Support (New) 
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,,Digital Advertising (New) ,Digital Advertising (New) 
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,,Digital Readiness Development Report - IC ,Digital Readiness Development Report - IC 
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,,Digital Readiness Development Report - Manager ,Digital Readiness Development Report - Manager 
Nursing Assistant Solution,https://www.shl.com/products/product-catalog/view/nursing-assistant-solution/,,Nursing Assistant Solution ,Nursing Assistant Solution 
Personal Banker - Short Form,https://www.shl.com/products/product-catalog/view/personal-banker-short-form/,,Personal Banker - Short Form ,Personal Banker - Short Form 
Phone Banker - Short Form,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,,Phone Banker - Short Form ,Phone Banker - Short Form 
Prep/Line Cook Solution,https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,,Prep/Line Cook Solution ,Prep/Line Cook Solution 
Professional + 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,,Professional + 7.0 Solution ,Professional + 7.0 Solution 
